1622	1622.trycycler.fasta
NCBI_CFBP6992_Xcphaseoli_fuscans	NCBI_CFBP6992_Xcphaseoli_var-fuscans.fasta
NCBI_CFBP6996_Xcfuscans	NCBI_CFBP6996_Xcfuscans.fasta
NCBI_CFBP6996R_Xcphaseoli_fuscans	NCBI_CFBP6996R_Xcphaseoli_var-fuscans.fasta
NCBI_CFBP7111_Xcvignicola	NCBI_CFBP7111_Xcvignicola.fasta
NCBI_CFBP7113_Xcvignicola	NCBI_CFBP7113_Xcvignicola.fasta
NCBI_CFBP7119_Xcglycine	NCBI_CFBP7119_Xcglycine.fasta
NCBI_CFBP7764_Xcc	NCBI_CFBP7764_Xcc.fasta
NCBI_CFBP7767_Xcphaseoli_fuscans	NCBI_CFBP7767_Xcphaseoli_var-fuscans.fasta
NCBI_DAR72029_Xcc	NCBI_DAR72029_Xcc.fasta
NCBI_DAR73909_Xcc	NCBI_DAR73909_Xcc.fasta
NCBI_EB08_Xcglycine	NCBI_EB08_Xcglycine.fasta
NCBI_FB19_Xcc	NCBI_FB19_Xcc.fasta
NCBI_FDC1559_XcauC	NCBI_FDC1559_XcauC.fasta
NCBI_FDC1561_XcauB	NCBI_FDC1561_XcauB.fasta
NCBI_FDC1609_XcauC	NCBI_FDC1609_XcauC.fasta
NCBI_FDC1662_PTA	NCBI_FDC1662_PTA.fasta
NCBI_FDC1682_PTAstar	NCBI_FDC1682_PTAstar.fasta
NCBI_FDC535_XcauC	NCBI_FDC535_XcauC.fasta
NCBI_FDC628_PTA	NCBI_FDC628_PTA.fasta
NCBI_FDC636_Xcc	NCBI_FDC636_Xcc.fasta
NCBI_FDC654_PTA	NCBI_FDC654_PTA.fasta
NCBI_FDC763_XcauC	NCBI_FDC763_XcauC.fasta
NCBI_FDC828_PTA	NCBI_FDC828_PTA.fasta
NCBI_FDC867_XcauC	NCBI_FDC867_XcauC.fasta
NCBI_gd2_Xcc	NCBI_gd2_Xcc.fasta
NCBI_gd3_Xcc	NCBI_gd3_Xcc.fasta
NCBI_GD82_Xcc	NCBI_GD82_Xcc.fasta
NCBI_GSPB1386_Xcmal	NCBI_GSPB1386_Xcmal.fasta
NCBI_GSPB2388_Xcmal	NCBI_GSPB22388_Xcmal.fasta
NCBI_GXG07_Xcmag	NCBI_GXG07_Xcmag.fasta
NCBI_GZ09_Xcmag	NCBI_GZ09_Xcmag.fasta
NCBI_HD_1_Xcmal	NCBI_HD-1_Xcmal.fasta
NCBI_IBSBF2579_Xcanacardii	NCBI_IBSBF2579_Xcanacardii.fasta
NCBI_ISO118C1_Xcfuscans	NCBI_ISO118C1_Xcfuscans.fasta
NCBI_ISO118C5_Xcfuscans	NCBI_ISO118C5_Xcfuscans.fasta
NCBI_ISO12C3_Xcfuscans	NCBI_ISO12C3_Xcfuscans.fasta
NCBI_jx4_Xcc	NCBI_jx4_Xcc.fasta
NCBI_jx5_Xcc	NCBI_jx5_Xcc.fasta
NCBI_jx_6_Xcc	NCBI_jx-6_Xcc.fasta
NCBI_K2_Xcglycine	NCBI_K2_Xcglycine.fasta
NCBI_LG56_10_Xcmag	NCBI_LG56-10_Xcmag.fasta
NCBI_LG81_27_Xcmag	NCBI_LG81-27_Xcmag.fasta
NCBI_LH201_Xcc	NCBI_LH201_Xcc.fasta
NCBI_LH276_Xcc	NCBI_LH276_Xcc.fasta
NCBI_LJ207_7_Xcc	NCBI_LJ207-7_Xcc.fasta
NCBI_LL074_4_Xcc	NCBI_LL074-4_Xcc.fasta
NCBI_LL098_02_Xcc	NCBI_LL098-02_Xcc.fasta
NCBI_LL115_09_Xcc	NCBI_LL115-09_Xcc.fasta
NCBI_LL174_05_Xcc	NCBI_LL174-05_Xcc.fasta
NCBI_LM089_20_Xcc	NCBI_LM089-20_Xcc.fasta
NCBI_LM180_Xcc	NCBI_LM180_Xcc.fasta
NCBI_LM199_Xcc	NCBI_LM199_Xcc.fasta
NCBI_LMG712_Xcglycine	NCBI_LMG712_Xcglycine.fasta
NCBI_LMG7399_Xcc	NCBI_LMG7399_Xcc.fasta
NCBI_LMG7439_Xcpunicae	NCBI_LMG7439_Xcpunicae.fasta
NCBI_LMG7504_Xcpunicae	NCBI_LMG7504_Xcpunicae.fasta
NCBI_LMG761_Xcmal	NCBI_LMG761_Xcmal.fasta
NCBI_LMG867_Xcsesbaniae	NCBI_LMG867_Xcsesbaniae.fasta
NCBI_LMG872_Xcthirumalacharii	NCBI_LMG872_Xcthirumalacharii.fasta
NCBI_LMG9322_XccTstrain	NCBI_LMG9322_XccTstrain.fasta
NCBI_LMG941_Xcmag	NCBI_LMG941_Xcmag.fasta
NCBI_mf20_Xcc	NCBI_mf20_Xcc.fasta
NCBI_MN10_Xcc	NCBI_MN10_Xcc.fasta
NCBI_MN12_Xcc	NCBI_MN12_Xcc.fasta
NCBI_MS14003_Xcmal	NCBI_MS14003_Xcmal.fasta
NCBI_MSCT1_Xcmal	NCBI_MSCT1_Xcmal.fasta
NCBI_NCPPB1056_Xcfuscans	NCBI_NCPPB1056_Xcfuscans.fasta
NCBI_NCPPB1058_Xcfuscans	NCBI_NCPPB1058_Xcfuscans.fasta
NCBI_NCPPB1402_Xcfuscans	NCBI_NCPPB1402_Xcfuscans.fasta
NCBI_NCPPB1433_Xcfuscans	NCBI_NCPPB1433_Xcfuscans.fasta
NCBI_NCPPB1654_Xcfuscans	NCBI_NCPPB1654_Xcfuscans.fasta
NCBI_NCPPB2665_Xcfuscans	NCBI_NCPPB2665_Xcfuscans.fasta
NCBI_NCPPB3563_Xcpunicae	NCBI_NCPPB3563_Xcpunicae.fasta
NCBI_NCPPB3660_Xcfuscans	NCBI_NCPPB3660_Xcfuscans.fasta
NCBI_NCPPB381_Xcfuscans	NCBI_NCPPB381_Xcfuscans.fasta
NCBI_NCPPB670_Xcfuscans	NCBI_NCPPB670_Xcfuscans.fasta
NCBI_NIGEB_386_PTAstar	NCBI_NIGEB-386_PTAstar.fasta
NCBI_NIGEB_88_PTAstar	NCBI_NIGEB-88_PTAstar.fasta
NCBI_NT17_Xcc	NCBI_NT17_Xcc.fasta
NCBI_SN3_3_Xcc	NCBI_SN3-3_Xcc.fasta
NCBI_T4_Xcc	NCBI_T4_Xcc.fasta
NCBI_TAQ13_Xcanacardii	NCBI_TAQ13_Xcanacardii.fasta
NCBI_TAQ18_Xcanacardii	NCBI_TAQ18_Xcanacardii.fasta
NCBI_TX160042_Xcc	NCBI_TX160042_Xcc.fasta
NCBI_TX160149_Xcc	NCBI_TX160149_Xcc.fasta
NCBI_TX160197_Xcc	NCBI_TX160197_Xcc.fasta
NCBI_UI6_Xcc	NCBI_UI6_Xcc.fasta
NCBI_UI7_Xcc	NCBI_UI7_Xcc.fasta
NCBI_UnB_Xtec2D_Xcc_tectnoae	NCBI_UnB-Xtec2D_Xcc_tectnoae.fasta
